Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity,Raw Line
7,train,0.001,74.76,0.642,0.501,
7,val,,66.6,0.856,0.501,
8,train,0.001,75.2,0.639,0.501,
8,val,,68.4,0.826,0.501,
9,train,0.001,75.76,0.628,0.501,
9,val,,69.2,0.833,0.501,
10,train,0.001,75.64,0.641,0.501,
10,val,,68.6,0.847,0.501,
11,train,0.001,75.52,0.641,0.501,
11,val,,67.8,0.849,0.501,
12,train,0.001,75.8,0.642,0.501,
12,val,,68.2,0.847,0.501,
13,train,0.001,75.36,0.633,0.501,
13,val,,66.8,0.851,0.501,
14,train,0.001,74.96,0.638,0.501,
14,val,,68.0,0.839,0.501,
15,train,0.001,76.4,0.626,0.501,
15,val,,68.2,0.845,0.501,
16,train,0.001,74.0,0.65,0.501,
16,val,,67.8,0.844,0.501,
17,train,0.001,76.8,0.606,0.501,
17,val,,67.4,0.83,0.501,
18,train,0.001,77.28,0.621,0.501,
18,val,,69.0,0.834,0.501,
19,train,0.001,76.4,0.609,0.501,
19,val,,70.6,0.836,0.501,
20,train,0.001,75.2,0.628,0.501,
20,val,,68.8,0.838,0.501,
0,val,,68.8,0.838,0.501,
1,train,0.001,74.68,0.641,0.553,
1,val,,62.4,0.995,0.553,
2,train,0.001,75.32,0.639,0.586,
2,val,,65.8,0.938,0.586,
3,train,0.001,73.64,0.668,0.598,
3,val,,66.0,0.892,0.598,
4,train,0.001,73.8,0.644,0.601,
4,val,,69.0,0.837,0.601,
5,train,0.001,74.6,0.648,0.601,
5,val,,67.6,0.842,0.601,
6,train,0.001,76.2,0.636,0.601,
6,val,,68.2,0.836,0.601,
7,train,0.001,75.64,0.618,0.601,
7,val,,68.2,0.852,0.601,
8,train,0.001,76.6,0.622,0.601,
8,val,,69.4,0.827,0.601,
9,train,0.001,76.32,0.608,0.601,
9,val,,69.4,0.835,0.601,
10,train,0.001,76.32,0.618,0.601,
10,val,,68.0,0.842,0.601,
11,train,0.001,76.72,0.619,0.601,
11,val,,67.4,0.849,0.601,
12,train,0.001,77.16,0.623,0.601,
12,val,,69.2,0.843,0.601,
13,train,0.001,75.96,0.612,0.601,
13,val,,68.6,0.854,0.601,
14,train,0.001,75.28,0.621,0.601,
14,val,,67.6,0.841,0.601,
15,train,0.001,77.32,0.605,0.601,
15,val,,68.8,0.842,0.601,
16,train,0.001,75.08,0.626,0.601,
16,val,,68.4,0.839,0.601,
17,train,0.001,77.16,0.583,0.601,
17,val,,69.4,0.828,0.601,
18,train,0.001,77.64,0.598,0.601,
18,val,,68.0,0.836,0.601,
19,train,0.001,76.8,0.592,0.601,
19,val,,71.2,0.832,0.601,
20,train,0.001,75.92,0.608,0.601,
20,val,,68.0,0.836,0.601,
0,val,,68.0,0.836,0.601,
1,train,0.001,76.08,0.614,0.653,
1,val,,64.6,0.942,0.653,
2,train,0.001,76.08,0.635,0.686,
2,val,,67.6,0.882,0.686,
3,train,0.001,73.84,0.671,0.698,
3,val,,66.4,0.864,0.698,
4,train,0.001,74.36,0.652,0.701,
4,val,,69.4,0.825,0.701,
5,train,0.001,74.24,0.645,0.701,
5,val,,66.6,0.836,0.701,
6,train,0.001,76.16,0.628,0.701,
6,val,,69.8,0.828,0.701,
7,train,0.001,75.92,0.611,0.701,
7,val,,69.0,0.845,0.701,
8,train,0.001,77.08,0.609,0.701,
8,val,,69.8,0.822,0.701,
9,train,0.001,77.8,0.598,0.701,
9,val,,68.4,0.833,0.701,
10,train,0.001,77.36,0.608,0.701,
10,val,,67.6,0.842,0.701,
11,train,0.001,76.64,0.606,0.701,
11,val,,66.0,0.849,0.701,
