Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity,Raw Line
2,val,,53.8,1.169,0.943,
3,train,0.001,64.72,0.88,0.949,
3,val,,54.8,1.091,0.949,
4,train,0.001,62.8,0.936,0.95,
4,val,,60.8,0.954,0.95,
5,train,0.001,66.84,0.858,0.95,
5,val,,64.0,0.887,0.95,
6,train,0.001,67.64,0.842,0.95,
6,val,,65.4,0.869,0.95,
7,train,0.001,66.92,0.837,0.95,
7,val,,65.0,0.858,0.95,
8,train,0.001,67.68,0.822,0.95,
8,val,,65.4,0.857,0.95,
9,train,0.001,68.36,0.812,0.95,
9,val,,66.4,0.846,0.95,
10,train,0.001,68.56,0.827,0.95,
10,val,,66.0,0.843,0.95,
11,train,0.001,68.88,0.797,0.95,
11,val,,66.6,0.841,0.95,
12,train,0.001,67.64,0.813,0.95,
12,val,,66.0,0.841,0.95,
13,train,0.001,68.8,0.807,0.95,
13,val,,66.0,0.845,0.95,
14,train,0.001,69.68,0.8,0.95,
14,val,,68.0,0.834,0.95,
15,train,0.001,69.8,0.791,0.95,
15,val,,67.0,0.831,0.95,
16,train,0.001,69.32,0.803,0.95,
16,val,,66.8,0.831,0.95,
17,train,0.001,69.8,0.784,0.95,
17,val,,66.8,0.824,0.95,
18,train,0.001,68.8,0.803,0.95,
18,val,,66.8,0.818,0.95,
19,train,0.001,70.12,0.772,0.95,
19,val,,66.0,0.826,0.95,
20,train,0.001,69.4,0.788,0.95,
20,val,,66.6,0.822,0.95,
