Epoch,Mode,Learning Rate,Accuracy,Loss,Sparsity,Raw Line
4,train,0.001,74.08,0.656,0.801,
4,val,,65.8,0.938,0.801,
5,train,0.001,75.12,0.637,0.801,
5,val,,67.2,0.887,0.801,
6,train,0.001,77.56,0.595,0.801,
6,val,,68.6,0.891,0.801,
7,train,0.001,77.76,0.592,0.801,
7,val,,67.6,0.89,0.801,
8,train,0.001,79.92,0.558,0.801,
8,val,,69.0,0.877,0.801,
9,train,0.001,78.4,0.589,0.801,
9,val,,68.4,0.877,0.801,
10,train,0.001,77.88,0.585,0.801,
10,val,,68.4,0.869,0.801,
11,train,0.001,78.6,0.564,0.801,
11,val,,68.0,0.896,0.801,
12,train,0.001,78.72,0.567,0.801,
12,val,,69.4,0.879,0.801,
13,train,0.001,77.96,0.583,0.801,
13,val,,68.0,0.878,0.801,
14,train,0.001,78.68,0.575,0.801,
14,val,,68.6,0.888,0.801,
15,train,0.001,79.16,0.549,0.801,
15,val,,68.4,0.878,0.801,
16,train,0.001,80.16,0.521,0.801,
16,val,,67.0,0.898,0.801,
17,train,0.001,80.2,0.549,0.801,
17,val,,69.0,0.881,0.801,
18,train,0.001,78.64,0.548,0.801,
18,val,,70.0,0.893,0.801,
19,train,0.001,79.8,0.543,0.801,
19,val,,68.2,0.906,0.801,
20,train,0.001,77.92,0.565,0.801,
20,val,,68.2,0.895,0.801,
0,val,,68.2,0.895,0.801,
1,train,0.001,81.16,0.515,0.853,
1,val,,46.0,1.491,0.853,
2,train,0.001,64.6,0.903,0.885,
2,val,,47.8,1.711,0.885,
3,train,0.001,56.24,1.135,0.898,
3,val,,47.4,1.475,0.898,
4,train,0.001,57.76,1.076,0.901,
4,val,,59.6,1.024,0.901,
5,train,0.001,63.68,0.948,0.901,
5,val,,63.8,0.939,0.901,
6,train,0.001,65.44,0.899,0.901,
6,val,,63.6,0.91,0.901,
7,train,0.001,66.88,0.867,0.901,
7,val,,66.2,0.894,0.901,
8,train,0.001,68.72,0.826,0.901,
8,val,,67.6,0.893,0.901,
9,train,0.001,67.44,0.847,0.901,
9,val,,68.4,0.878,0.901,
10,train,0.001,67.52,0.826,0.901,
10,val,,68.0,0.866,0.901,
11,train,0.001,68.84,0.828,0.901,
11,val,,67.4,0.858,0.901,
12,train,0.001,68.32,0.825,0.901,
12,val,,67.6,0.862,0.901,
13,train,0.001,66.84,0.834,0.901,
13,val,,68.0,0.86,0.901,
14,train,0.001,67.6,0.814,0.901,
14,val,,68.8,0.857,0.901,
15,train,0.001,69.56,0.79,0.901,
15,val,,68.6,0.86,0.901,
16,train,0.001,69.32,0.781,0.901,
16,val,,66.4,0.856,0.901,
17,train,0.001,70.56,0.783,0.901,
17,val,,69.0,0.842,0.901,
18,train,0.001,70.28,0.769,0.901,
18,val,,69.2,0.837,0.901,
19,train,0.001,69.88,0.773,0.901,
19,val,,66.2,0.86,0.901,
20,train,0.001,69.48,0.78,0.901,
20,val,,68.4,0.841,0.901,
0,val,,68.4,0.841,0.901,
1,train,0.001,72.16,0.751,0.926,
1,val,,36.6,2.149,0.926,
2,train,0.001,57.28,1.102,0.943,
2,val,,38.4,2.356,0.943,
3,train,0.001,51.6,1.253,0.949,
3,val,,32.8,2.089,0.949,
4,train,0.001,53.52,1.169,0.95,
4,val,,55.2,1.163,0.95,
5,train,0.001,57.84,1.08,0.95,
5,val,,59.6,1.04,0.95,
6,train,0.001,59.4,1.041,0.95,
6,val,,62.2,1.011,0.95,
7,train,0.001,59.36,1.02,0.95,
7,val,,62.2,0.99,0.95,
8,train,0.001,60.92,1.002,0.95,
8,val,,62.8,0.986,0.95,
9,train,0.001,61.76,0.997,0.95,
9,val,,62.0,0.961,0.95,
10,train,0.001,61.88,0.976,0.95,
10,val,,63.0,0.956,0.95,
11,train,0.001,61.8,0.975,0.95,
11,val,,63.2,0.944,0.95,
12,train,0.001,61.2,0.979,0.95,
12,val,,63.0,0.944,0.95,
13,train,0.001,61.36,0.97,0.95,
13,val,,64.0,0.935,0.95,
14,train,0.001,62.84,0.966,0.95,
14,val,,63.8,0.937,0.95,
15,train,0.001,63.08,0.944,0.95,
15,val,,65.2,0.928,0.95,
16,train,0.001,63.52,0.934,0.95,
16,val,,64.4,0.944,0.95,
17,train,0.001,63.56,0.944,0.95,
17,val,,64.2,0.917,0.95,
18,train,0.001,64.32,0.922,0.95,
18,val,,65.6,0.92,0.95,
19,train,0.001,63.16,0.929,0.95,
19,val,,66.4,0.928,0.95,
20,train,0.001,63.72,0.928,0.95,
20,val,,66.0,0.91,0.95,
